"9-3 历年入境过夜游客和国际旅游收入
",,,,,,
"International Tourism Receipts and Oversea Vistitor Arrivals
",,,,,,
"年份
Year","入境过夜游客
(万人次)
Oversea Visitor Arrivals
(10 000 person-time)","入境过夜游客
增速(%)
Growth Rates
(%)","入境过夜游客
居世界位次
Rank","国际旅游收入
合计(亿美元)
Tourism Receipts
(USD 100 Million)","国际旅游
收入增速(%)
Growth Rates
(%)","国际旅游收入
居世界位次
Rank"
1978,71.60,,,2.63,,
1979,152.90,113.5,,4.49,70.7,
1980,350.00,128.9,18,6.17,37.4,34
1981,376.70,7.6,17,7.85,27.2,34
1982,392.40,4.2,16,8.43,7.4,29
1983,379.10,-3.4,16,9.41,11.6,26
1984,514.10,35.6,14,11.31,20.2,21
1985,713.30,38.7,13,12.50,10.5,21
1986,900.10,26.2,12,15.31,22.5,22
1987,1076.00,19.5,12,18.62,21.6,26
1988,1236.10,14.9,10,22.47,20.7,26
1989,936.10,-24.3,12,18.60,-17.2,27
1990,1048.40,12.0,11,22.18,19.2,25
1991,1246.40,18.9,12,28.45,28.3,21
1992,1651.20,32.5,9,39.47,38.7,17
1993,1898.20,15.0,7,46.83,18.6,15
1994,2107.00,11.0,6,73.23,56.4,10
1995,2003.40,-4.9,8,87.33,19.3,10
1996,2276.50,13.6,6,102.00,16.8,9
1997,2377.00,4.4,6,120.74,18.4,8
1998,2507.29,5.5,6,126.02,4.4,7
1999,2704.66,7.9,5,140.99,11.9,7
2000,3122.88,15.5,5,162.24,15.1,7
2001,3316.67,6.2,5,177.92,9.7,5
2002,3680.26,11.0,5,203.85,14.6,5
2003,3297.05,-10.4,5,174.06,-14.6,7
2004,4176.14,26.7,4,257.39,47.9,7
2005,4680.90,12.1,4,292.96,13.8,6
2006,4991.34,6.6,4,339.49,15.9,5
2007,5471.98,9.6,4,419.19,23.5,5
2008,5304.92,-3.1,4,408.43,-2.6,5
2009,5087.52,-4.1,4,396.75,-2.9,5
2010,5566.45,9.4,3,458.14,15.5,4
2011,5758.07,3.4,3,484.64,5.8,4
2012,5772.49,0.3,3,500.28,3.2,4
2013,5568.59,-3.5,4,516.64,3.3,4
2014,5562.20,-0.1,4,569.13,10.2,4
2015,5688.57,2.3,4,1136.50,7.8,2
2016,5926.73,4.2,4,1200.00,5.6,2
2017,6073.84,2.5,4,1234.17,2.8,2
2018,6289.57,3.6,4,1271.03,3.0,2
2019,6572.52,4.5,3,1312.54,3.3,2
"注:2015年起“国际旅游收入”补充完善了停留时间为3-12个月的入境游客花费和游客在华短期旅居的花费,与以前年度不可比",,,,,,
(下同)。,,,,,,
"Note:Since 2015,Foreign Exchange Earnings from International Tourism has supplemented and improved the cost of inbound tourists and short-term",,,,,,
" tourists for the term of 3-12 months in China,so it is not comparable with the previous year(The same applies in the following tables).",,,,,,
