"1-4 三大需求对国内生产总值增长的贡献率和拉动
",,,,,,
"Share and Contribution of the Three Components of GDP
by Expenditure Approach to the Growth of GDP
",,,,,,
"(按不变价格计算,Data in value terms in this table are calculated at constant prices)
",,,,,,
"年 份
Year","最终消费支出
Final Consumption Expenditure",,"资本形成总额
Gross Capital Formation",,"货物和服务净出口
Net Exports of Goods and Services",
,"贡献率
Share
(%)","拉动(百分点)
Contribution
(percentage points)","贡献率
Share
(%)","拉动(百分点)
Contribution
(percentage points)","贡献率
Share
(%)","拉动(百分点)
Contribution
(percentage points)"
1978,39.4,4.6,66.0,7.6,-5.4,-0.6
1979,85.1,6.4,18.1,1.4,-3.2,-0.2
1980,77.5,6.1,20.7,1.6,1.8,0.2
1981,88.7,4.6,-1.1,-0.1,12.4,0.6
1982,56.4,5.1,23.0,2.1,20.6,1.8
1983,75.6,8.1,32.4,3.5,-8.0,-0.8
1984,69.4,10.6,41.2,6.3,-10.6,-1.7
1985,71.1,9.6,79.9,10.8,-51.0,-6.9
1986,50.4,4.5,15.5,1.4,34.1,3.0
1987,41.0,4.8,26.4,3.1,32.6,3.8
1988,43.2,4.9,55.9,6.3,0.9,0.1
1989,94.4,4.0,-19.0,-0.8,24.6,1.0
1990,81.0,3.2,-54.2,-2.1,73.2,2.8
1991,60.9,5.7,37.4,3.5,1.7,0.1
1992,56.4,8.0,52.7,7.5,-9.1,-1.2
1993,59.4,8.3,54.1,7.5,-13.5,-1.9
1994,33.8,4.4,36.1,4.7,30.1,4.0
1995,46.1,5.1,46.7,5.1,7.2,
1996,62.0,6.2,34.2,3.4,3.8,0.8
1997,42.8,3.9,14.5,1.3,42.7,0.3
1998,64.9,5.1,28.5,2.2,6.6,4.0
1999,89.0,6.8,20.8,1.6,-9.8,0.5
2000,78.9,6.6,21.6,1.8,-0.5,-0.8
2001,48.6,4.0,64.3,5.3,-12.9,
2002,57.3,5.2,37.9,3.4,4.8,-1.0
2003,35.8,3.6,69.6,7.0,-5.4,0.5
2004,43.0,4.3,61.3,6.2,-4.3,-0.6
2005,55.0,6.2,32.3,3.7,12.7,-0.4
2006,42.4,5.4,42.3,5.4,15.3,1.4
2007,45.8,6.5,43.4,6.2,10.8,1.9
2008,45.0,4.3,52.3,5.0,2.7,1.5
2009,56.8,5.2,86.0,7.9,-42.8,0.3
2010,46.3,4.9,65.2,6.9,-11.5,-3.9
2011,65.7,6.3,41.1,3.9,-6.8,-0.6
2012,55.4,4.4,42.1,3.3,2.5,0.2
2013,50.2,3.9,53.1,4.1,-3.3,-0.3
2014,56.3,4.2,45.0,3.3,-1.3,-0.1
2015,69.0,4.9,22.6,1.6,8.4,0.6
2016,66.0,4.5,45.7,3.1,-11.7,-0.8
2017,55.9,3.9,39.5,2.7,4.7,0.3
2018,64.0,4.3,43.2,2.9,-7.2,-0.5
2019,58.6,3.5,28.9,1.7,12.6,0.7
2020,-22.0,-0.5,94.1,2.2,28.0,0.7
"注:1.三大需求指支出法国内生产总值的三大构成项目,即最终消费支出、资本形成总额、货物和服务净出口。",,,,,,
2.贡献率指三大需求增量与支出法国内生产总值增量之比。,,,,,,
3.拉动指国内生产总值增长速度与三大需求贡献率的乘积。,,,,,,
"Note:a)Three components of GDP by expenditure approach are final consumption expenditure,gross capital formation and net exports of goods and",,,,,,
 services.,,,,,,
 b)Contribution share of the three components refers to the proportion of the increment of the each component of GDP to the increment of GDP.,,,,,,
 c)Contribution of the three components refers to the growth rate of GDP multiplies the constribution share of the three components.,,,,,,
