"8-8 分地区签订对外承包工程合同数量及金额
",,,,,
"Contracts Signed for Foreign Engineering Projects by Region
",,,,,
地 区,Region,2019,,2020,
,,"合 同
(份)
Nunber of Contracts
(unit)","金 额
(万美元)
Contract Value
(USD 10 000)","合 同
(份)
Nunber of Contracts
(unit)","金 额
(万美元)
Contract Value
(USD 10 000)"
总 计,Total,11932,26024542,9933,25553561
  一、中央企业,"Enterprises Managed by the
Central Government",2387,11050045,2127,13544344
  二、地方企业,Provincial Enterprises,9545,14974498,7806,12009217
    北 京,  Beijing,186,1173673,154,792162
    天 津,  Tianjin,131,501981,125,591928
    河 北,  Hebei,128,372915,125,307080
    山 西,  Shanxi,17,142877,45,285134
    内蒙古,  Inner Mongolia,1,3326,,
    辽 宁,  Liaoning,170,215746,110,252077
    吉 林,  Jilin,15,39666,8,94697
    黑龙江,"  Heilongjiang,",88,381713,78,87521
    上 海,  Shanghai,1825,1254441,1595,931326
    江 苏,  Jiangsu,1737,680364,503,545570
    浙 江,  Zhejiang,1901,520962,1858,383315
    安 徽,  Anhui,261,213691,70,280749
    福 建,  Fujian,44,173362,47,79616
    江 西,  Jiangxi,170,375428,155,390457
    山 东,  Shandong,504,1269937,475,1010672
    河 南,  Henan,258,432494,239,494046
    湖 北,  Hubei,249,1663154,683,1789911
    湖 南,  Hunan,74,215015,88,350323
    广 东,  Guangdong,1030,2556123,878,1873148
    广 西,  Guangxi,47,24384,27,39820
    海 南,  Hainan,,,,
    重 庆,  Chongqing,112,65521,40,48251
    四 川,  Sichuan,144,1850655,122,624533
    贵 州,  Guizhou,13,22508,5,23170
    云 南,  Yunnan,51,153167,17,72523
    西 藏,  Tibet,8,5632,,
    陕 西,  Shaanxi,150,381855,157,386525
    甘 肃,  Gansu,70,51599,81,48537
    青 海,  Qinghai,1,40,,
    宁 夏,  Ningxia,2,630,4,10199
    新 疆,  Xinjiang,158,215444,117,215930
    新疆兵团,  Xinjiang Bingtuan,,16195,,
