"4-1-2 各地区限额以上住宿业企业基本情况
",,,,,
"Basic Conditions of Enterprises above Designated Size of Hotels by Region
",,,,,
地 区,Region,"住宿业
Hotels",,,
,,,,"#国有控股
State-controlled Enterprises",
,,"法人单位数
(个)
Number of
C orporation
Enterprises
(unit)","年末从业人数
(人)
Engaged Persons
at the Year-end
(person)","法人单位数
(个)
Number of
Corporation
Enterprises
(unit)","年末从业人数
(人)
Engaged Persons
at the Year-end
(person)"
全 国,National Total,25281,1666224,2924,404140
北 京,Beijing,1164,96155,356,49222
天 津,Tianjin,315,15546,52,5379
河 北,Hebei,534,44102,118,13236
山 西,Shanxi,445,33645,66,11007
内蒙古,Inner Mongolia,311,18958,34,3510
辽 宁,Liaoning,486,29972,65,8100
吉 林,Jilin,197,14862,43,5417
黑龙江,Heilongjiang,181,12105,46,4491
上 海,Shanghai,1104,71323,154,27432
江 苏,Jiangsu,1362,96653,214,30884
浙 江,Zhejiang,1735,136471,158,21146
安 徽,Anhui,716,47037,49,9778
福 建,Fujian,1211,86656,120,19244
江 西,Jiangxi,798,41062,83,7952
山 东,Shandong,1183,83481,153,27152
河 南,Henan,1481,80440,105,12538
湖 北,Hubei,934,47565,64,6403
湖 南,Hunan,1102,65079,66,8664
广 东,Guangdong,3003,213780,221,36656
广 西,Guangxi,799,47993,62,9826
海 南,Hainan,344,48686,46,6788
重 庆,Chongqing,534,33973,53,7395
四 川,Sichuan,1512,83015,111,13649
贵 州,Guizhou,808,37691,85,7961
云 南,Yunnan,771,48041,82,11063
西 藏,Tibet,92,4816,21,1928
陕 西,Shaanxi,1188,68974,98,15764
甘 肃,Gansu,411,25072,70,7810
青 海,Qinghai,122,5979,20,1640
宁 夏,Ningxia,73,4550,8,1016
新 疆,Xinjiang,365,22542,101,11089
